Channel_name,Subscribers,Views,Total_videos,playlist_id
Mejja Genge,526000,41559994,8,UUuRGQqKKdPOSPB0XG5VNk5g
Fathermoh,184000,32018907,749,UUi_szzLDh7zYETJevZY0HqQ
Masterpiece King,55000,5221277,46,UUSlDRMidlzVI7EcEtOYQIqA
Victoria Kimani,72300,13485527,118,UUcegJZ-0FZcby0gsI4LAnGg
H_ART THE BAND OFFICIAL,300000,59966489,183,UUFojdS6BpyQwOBeo0I2WNpQ
Kagwe Mungai,47900,7375299,57,UUX2yZw_y5dGZyuv6zP6lajw
Akothee Kenya,446000,65930475,305,UU8NZHJl-gfDZxbBvmL0vCXQ
BURUKLYN BOYZ,219000,31365273,82,UUoJ0b8z-FS_tuissbov-UUA
Otile Brown Official,1490000,400267938,108,UUvA_SWl8Ti3hvbmJyrLFqZQ
Naiboi Worldwide,149000,28190666,72,UUC5BuZ0T74w-01gm5BD71TQ
Fena Gitu,65100,7068898,203,UUmBsqNZEs2KF7PfZvXLd69A
Nyashinski,658000,149082492,50,UUNzd8n4UapaAtrhC062RxDQ
Bien,161000,24653820,39,UUYKXCpJbGe3fTYILjpJgW2A
Nviiri the Storyteller,213000,43167356,61,UUEly_O1P_iUpOV-QjsDXccw
Official Masauti,266000,38310117,132,UUsYg_Sejxwi0nXe2ztzCXlw
Trio Mio Official,350000,30349453,61,UU_X93AYMCJ3FViwBRyP5LZg
Okello Max,65700,12585189,49,UUlhcx_imK_zTZf4wDKsXxDg
Chris Kaiga,95200,14911413,10,UUsmPEw8gG-tmNJn_UzKwcWA
Maandy,128000,16498678,107,UUA-KAJf71B6_G_RFu94LB-Q
MATATA OFFICIAL,248000,37070670,42,UUJ2XnwRKT0ksT9E1lri1wlg
Charisma KE,24500,3978769,43,UUaTYJcqWO4Y9e_-2nsDlmYA
SEAN MMG,93100,13200206,13,UUJ7kenzU8PUZVxKuE3kirEg
Willy Paul Thee Pozze,1210000,258167588,234,UUgdVgtJQXxebSiSAzlhYczw
Nikita Kering',214000,17315465,19,UUl1txXouaN3YU8zzNPJP_pA
Wakadinali,425000,80989004,121,UUNB-IDvDxuuiX2ghjNft5AQ
Ethic Entertainment,390000,53020408,31,UUOEK9oW_VYDHbX3qwT4JMyQ
OCTOPIZZO,269000,72439237,127,UUP1vbe6cL3gmu6edBwUyk_A
Femi One,293000,28619086,115,UUYGgbbl6veQIN9Hn0RhVX6A
Khaligraph Jones,831000,108672664,104,UURRSCAz5VJQqJHAIPgFVCxw
Sauti Sol,1110000,336364592,258,UUBZPPYU_l99Mg6-GXm6xbMg
GILAD,75400,18631552,88,UUaSAaM_y6bOX0DIy_Xry1Mg
